Episode,Score,Average Score,Best Score,steps,Model Saved,Epsilon,Dropout,Vehicle Name
0,-82622.13499619931,-82622.13499619931,-inf,281,True,0.9054000000000003,0.001,Drone0
1,-22383.19553991606,-52502.66526805769,-82622.13499619931,386,True,0.8949000000000015,0.001,Drone0
2,-32648.00969141734,-45884.44674251091,-52502.66526805769,490,True,0.8845000000000026,0.001,Drone0
3,-4720.336657349956,-35593.41922122067,-45884.44674251091,523,True,0.881200000000003,0.001,Drone0
4,-33705.57762049758,-35215.85090107605,-35593.41922122067,626,True,0.8709000000000041,0.001,Drone0
5,-31712.68093836504,-34631.989240624214,-35215.85090107605,732,True,0.8603000000000053,0.001,Drone0
6,-18371.939688176062,-32309.125018845905,-34631.989240624214,836,True,0.8499000000000064,0.001,Drone0
7,-17277.0738710702,-30430.118625373943,-32309.125018845905,939,True,0.8396000000000076,0.001,Drone0
