Episode,Score,Average Score,Best Score,steps,Model Saved,Epsilon,Dropout,Vehicle Name
31,-120,-162.0,-156.0,3132,False,0.6995000000000331,0.001,Drone0
32,-160,-164.0,-156.0,3237,False,0.6890000000000343,0.001,Drone0
33,-90,-162.0,-156.0,3347,False,0.6780000000000355,0.001,Drone0
34,-210,-164.0,-156.0,3456,False,0.6671000000000367,0.001,Drone0
35,-80,-158.0,-156.0,3566,False,0.6561000000000379,0.001,Drone0
36,-160,-129.0,-156.0,3672,True,0.645500000000039,0.001,Drone0
37,-50,-129.0,-129.0,3776,False,0.6351000000000402,0.001,Drone0
38,-100,-124.0,-129.0,3877,True,0.6250000000000413,0.001,Drone0
39,-140,-126.0,-124.0,3988,False,0.6139000000000425,0.001,Drone0
40,-70,-118.0,-124.0,4090,True,0.6037000000000436,0.001,Drone0
41,-80,-114.0,-118.0,4198,True,0.5929000000000448,0.001,Drone0
42,-60,-104.0,-114.0,4298,True,0.5829000000000459,0.001,Drone0
43,-150,-110.0,-104.0,4406,False,0.5721000000000471,0.001,Drone0
44,-90,-98.0,-104.0,4509,True,0.5618000000000483,0.001,Drone0
45,-110,-101.0,-98.0,4619,False,0.5508000000000495,0.001,Drone0
46,-130,-98.0,-98.0,4724,False,0.5403000000000506,0.001,Drone0
47,-120,-105.0,-98.0,4829,False,0.5298000000000518,0.001,Drone0
48,-90,-104.0,-98.0,4937,False,0.519000000000053,0.001,Drone0
49,-80,-98.0,-98.0,5040,False,0.5087000000000541,0.001,Drone0
50,-110,-102.0,-98.0,5151,False,0.49760000000005533,0.001,Drone0
51,-110,-105.0,-98.0,5251,False,0.48760000000005643,0.001,Drone0
52,-50,-104.0,-98.0,5350,False,0.4777000000000575,0.001,Drone0
53,-170,-106.0,-98.0,5456,False,0.4671000000000587,0.001,Drone0
54,-70,-104.0,-98.0,5564,False,0.4563000000000599,0.001,Drone0
55,-70,-100.0,-98.0,5668,False,0.445900000000061,0.001,Drone0
56,-50,-92.0,-98.0,5772,True,0.43550000000006217,0.001,Drone0
57,-90,-89.0,-92.0,5874,True,0.4253000000000633,0.001,Drone0
58,-100,-90.0,-89.0,5980,False,0.41470000000006446,0.001,Drone0
59,-50,-87.0,-89.0,6082,True,0.4045000000000656,0.001,Drone0
60,-100,-86.0,-87.0,6186,True,0.39410000000006673,0.001,Drone0
61,-50,-80.0,-86.0,6293,True,0.3834000000000679,0.001,Drone0
62,-40,-79.0,-80.0,6393,True,0.373400000000069,0.001,Drone0
63,-70,-69.0,-79.0,6495,True,0.36320000000007013,0.001,Drone0
64,-30,-65.0,-69.0,6592,True,0.3535000000000712,0.001,Drone0
65,-60,-64.0,-65.0,6689,True,0.34380000000007227,0.001,Drone0
66,-30,-62.0,-64.0,6793,True,0.3334000000000734,0.001,Drone0
67,-40,-57.0,-62.0,6895,True,0.32320000000007454,0.001,Drone0
68,-40,-51.0,-57.0,6997,True,0.31300000000007566,0.001,Drone0
69,-80,-54.0,-51.0,7097,False,0.30300000000007676,0.001,Drone0
70,-60,-50.0,-51.0,7195,True,0.29320000000007784,0.001,Drone0
71,-80,-53.0,-50.0,7296,False,0.28310000000007896,0.001,Drone0
72,-30,-52.0,-50.0,7390,False,0.27370000000008,0.001,Drone0
73,-60,-51.0,-50.0,7492,False,0.2635000000000811,0.001,Drone0
74,-20,-50.0,-50.0,7587,False,0.25400000000008216,0.001,Drone0
75,-20,-46.0,-50.0,7685,True,0.24420000000008324,0.001,Drone0
76,-70,-50.0,-46.0,7785,False,0.23420000000008434,0.001,Drone0
77,-70,-53.0,-46.0,7888,False,0.22390000000008548,0.001,Drone0
78,-50,-54.0,-46.0,7989,False,0.2138000000000866,0.001,Drone0
79,-40,-50.0,-46.0,8085,False,0.20420000000008764,0.001,Drone0
80,-20,-46.0,-46.0,8188,False,0.19390000000008878,0.001,Drone0
81,-40,-42.0,-46.0,8285,True,0.18420000000008985,0.001,Drone0
82,-10,-40.0,-42.0,8384,True,0.17430000000009094,0.001,Drone0
83,-20,-36.0,-40.0,8486,True,0.16410000000009206,0.001,Drone0
84,-20,-36.0,-36.0,8585,False,0.15420000000009315,0.001,Drone0
85,-40,-38.0,-36.0,8681,False,0.1446000000000942,0.001,Drone0
86,-10,-32.0,-36.0,8781,True,0.1346000000000953,0.001,Drone0
87,-30,-28.0,-32.0,8875,True,0.12520000000009635,0.001,Drone0
88,-10,-24.0,-28.0,8969,True,0.1158000000000961,0.001,Drone0
89,-10,-21.0,-24.0,9066,True,0.10610000000009583,0.001,Drone0
90,0,-19.0,-21.0,9159,True,0.09990000000009565,0.001,Drone0
91,-20,-17.0,-19.0,9251,True,0.09990000000009565,0.001,Drone0
92,-20,-18.0,-17.0,9350,False,0.09990000000009565,0.001,Drone0
93,-20,-18.0,-17.0,9449,False,0.09990000000009565,0.001,Drone0
94,-10,-17.0,-17.0,9540,False,0.09990000000009565,0.001,Drone0
95,-20,-15.0,-17.0,9637,True,0.09990000000009565,0.001,Drone0
96,-20,-16.0,-15.0,9730,False,0.09990000000009565,0.001,Drone0
97,-20,-15.0,-15.0,9823,False,0.09990000000009565,0.001,Drone0
98,0,-14.0,-15.0,9918,True,0.09990000000009565,0.001,Drone0
99,-30,-16.0,-14.0,10020,False,0.09990000000009565,0.001,Drone0
