Episode,Score,Average Score,Best Score,steps,Model Saved,Epsilon,Dropout,Vehicle Name
0,-240,-240.0,-inf,66,False,1,0.001,Drone0
1,-180,-210.0,-inf,202,False,0.9925000000000008,0.001,Drone0
2,-80,-166.66666666666666,-inf,303,False,0.9824000000000019,0.001,Drone0
3,-230,-182.5,-inf,411,False,0.9716000000000031,0.001,Drone0
4,-520,-250.0,-inf,462,True,0.9665000000000037,0.001,Drone0
5,-320,-261.6666666666667,-250.0,517,False,0.9610000000000043,0.001,Drone0
6,-30,-228.57142857142858,-250.0,532,True,0.9595000000000045,0.001,Drone0
7,-130,-216.25,-228.57142857142858,635,True,0.9492000000000056,0.001,Drone0
8,-330,-228.88888888888889,-216.25,743,False,0.9384000000000068,0.001,Drone0
9,-330,-239.0,-216.25,826,False,0.9301000000000077,0.001,Drone0
10,-720,-287.0,-216.25,945,False,0.918200000000009,0.001,Drone0
11,-130,-282.0,-216.25,1049,False,0.9078000000000102,0.001,Drone0
12,-90,-283.0,-216.25,1083,False,0.9044000000000105,0.001,Drone0
13,-120,-272.0,-216.25,1192,False,0.8935000000000117,0.001,Drone0
14,-250,-245.0,-216.25,1305,False,0.882200000000013,0.001,Drone0
15,-220,-235.0,-216.25,1416,False,0.8711000000000142,0.001,Drone0
16,-220,-254.0,-216.25,1527,False,0.8600000000000154,0.001,Drone0
17,-200,-261.0,-216.25,1638,False,0.8489000000000166,0.001,Drone0
18,-190,-247.0,-216.25,1746,False,0.8381000000000178,0.001,Drone0
19,-210,-235.0,-216.25,1850,False,0.827700000000019,0.001,Drone0
20,-80,-171.0,-216.25,1956,True,0.8171000000000201,0.001,Drone0
21,-130,-171.0,-171.0,2061,False,0.8066000000000213,0.001,Drone0
22,-140,-176.0,-171.0,2169,False,0.7958000000000225,0.001,Drone0
23,-110,-175.0,-171.0,2272,False,0.7855000000000236,0.001,Drone0
24,-190,-169.0,-171.0,2383,True,0.7744000000000248,0.001,Drone0
25,-140,-161.0,-169.0,2491,True,0.763600000000026,0.001,Drone0
26,-450,-184.0,-161.0,2591,False,0.7536000000000271,0.001,Drone0
27,-50,-169.0,-161.0,2695,False,0.7432000000000283,0.001,Drone0
28,-150,-165.0,-161.0,2806,False,0.7321000000000295,0.001,Drone0
29,-120,-156.0,-161.0,2908,True,0.7219000000000306,0.001,Drone0
30,-150,-163.0,-156.0,3018,False,0.7109000000000318,0.001,Drone0
